"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"455",268040,"Gamkonora","Indonesia","Stratovolcano","Eruption Observed","2007 CE","Indonesia","Halmahera",1.38,127.53,1635,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,127.53,1.38,TRUE
"456",268050,"Todoko-Ranu","Indonesia","Caldera(s)","Evidence Credible","Unknown","Indonesia","Halmahera",1.25,127.47,979,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,127.47,1.25,TRUE
"457",268051,"Jailolo","Indonesia","Stratovolcano","Evidence Credible","Unknown","Indonesia","Halmahera",1.08,127.439,993,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,127.439,1.08,TRUE
"458",268052,"Hiri","Indonesia","Stratovolcano","Evidence Credible","Unknown","Indonesia","Halmahera",0.9,127.32,630,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,127.32,0.9,TRUE
"459",268060,"Gamalama","Indonesia","Stratovolcano(es)","Eruption Observed","2018 CE","Indonesia","Halmahera",0.8,127.33,1715,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,127.33,0.8,TRUE
"460",268061,"Tidore","Indonesia","Stratovolcano","Evidence Credible","Unknown","Indonesia","Halmahera",0.658,127.4,1730,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,127.4,0.658,TRUE
"461",268062,"Mare","Indonesia","Stratovolcano","Evidence Credible","Unknown","Indonesia","Halmahera",0.57,127.4,308,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,127.4,0.57,TRUE
"462",268063,"Moti","Indonesia","Stratovolcano","Evidence Credible","Unknown","Indonesia","Halmahera",0.454,127.411,927,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,127.411,0.454,TRUE
"463",268070,"Makian","Indonesia","Stratovolcano","Eruption Observed","1988 CE","Indonesia","Halmahera",0.32,127.4,1357,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,127.4,0.32,TRUE
"464",268071,"Tigalalu","Indonesia","Stratovolcano","Evidence Credible","Unknown","Indonesia","Halmahera",0.07,127.42,422,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,127.42,0.07,TRUE
"465",268072,"Amasing","Indonesia","Stratovolcano(es)","Evidence Credible","Unknown","Indonesia","Halmahera",-0.53,127.48,1030,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,127.48,-0.53,TRUE
"466",268073,"Bibinoi","Indonesia","Stratovolcano(es)","Evidence Credible","Unknown","Indonesia","Halmahera",-0.761,127.725,932,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",NA,NA,NA,127.725,-0.761,TRUE
"1635",251800,"Vokeo","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","Northeast of New Guinea",-3.2,144.1,609,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,144.1,-3.2,TRUE
"1636",251801,"Viai","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","Northeast of New Guinea",-3.39,144.404,58,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,144.404,-3.39,TRUE
"1637",251802,"Bagabag","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","Northeast of New Guinea",-4.78,146.23,692,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,146.23,-4.78,TRUE
"1638",251803,"Crown Island","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","Northeast of New Guinea",-5.117,146.952,298,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,146.952,-5.117,TRUE
"1639",251804,"Tolokiwa","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","Northeast of New Guinea",-5.32,147.58,1372,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,147.58,-5.32,TRUE
"1647",253000,"Doma Peaks","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-5.9,143.15,3568,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,143.15,-5.9,TRUE
"1648",253001,"Crater Mountain","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-6.581,145.091,2950,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,145.091,-6.581,TRUE
"1649",253002,"Yelia","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-7.05,145.858,3384,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,145.858,-7.05,TRUE
"1650",253800,"Kerewa","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-6.02,143.15,3700,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,143.15,-6.02,TRUE
"1651",253801,"Sisa","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-6.13,142.73,2650,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,142.73,-6.13,TRUE
"1652",253802,"Bosavi","Papua New Guinea","Stratovolcano",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-6.58,142.82,2397,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,142.82,-6.58,TRUE
"1653",253803,"Darai Hills","Papua New Guinea","Volcanic field",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-6.8,143.08,500,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,143.08,-6.8,TRUE
"1654",253804,"Biwau Hills","Papua New Guinea","Pyroclastic cone(s)",NA,NA,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-7.32,143.28,400,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,143.28,-7.32,TRUE
