"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"517",275100,"Singu Plateau","Burma (Myanmar)","Fissure vent(s)","Evidence Credible","Unknown","Philippines and SE Asia","Southeast Asia",22.7,95.98,507,"Trachyandesite / Basaltic Trachyandesite","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,95.98,22.7,TRUE
"518",275110,"Tengchong","China","Pyroclastic cone(s)","Eruption Dated","5750 BCE","Philippines and SE Asia","Southeast Asia",25.23,98.5,2865,"Basalt / Picro-Basalt","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,98.5,25.23,TRUE
"817",304030,"Kunlun Volcanic Group","China","Pyroclastic cone(s)","Eruption Observed","1951 CE","Kamchatka and Mainland Asia","China (western)",35.52,80.2,5808,"Trachyte / Trachydacite","Intraplate / Continental crust (>25 km)","Holocene",NA,NA,NA,80.2,35.52,TRUE
"1823",275090,"Lower Chindwin","Burma (Myanmar)","Volcanic field",NA,NA,"Philippines and SE Asia","Southeast Asia",22.28,95.1,385,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,95.1,22.28,TRUE
"1846",275823,"Namyong","Burma (Myanmar)","Fissure vent(s)",NA,NA,"Philippines and SE Asia","Southeast Asia",25.68,96.43,508,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,96.43,25.68,TRUE
"2149",304040,"Unnamed","China","Volcanic field",NA,NA,"Kamchatka and Mainland Asia","China (western)",35.85,91.7,5400,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,91.7,35.85,TRUE
"2150",304803,"Unnamed","China","Unknown",NA,NA,"Kamchatka and Mainland Asia","China (western)",35.47,82.92,6900,NA,"Intraplate / Continental crust (>25 km)","Pleistocene",NA,NA,NA,82.92,35.47,TRUE
