"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"2594",360808,"Centre Hills","United Kingdom","Lava dome(s)",NA,NA,"West Indies","West Indies",16.759,-62.196,741,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-62.196,16.759,TRUE
"2595",360809,"Septentrional Chain","France","Lava dome(s)",NA,NA,"West Indies","West Indies",16.23,-61.72,744,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-61.72,16.23,TRUE
"2596",360810,"Axial Chain","France","Stratovolcano(es)",NA,NA,"West Indies","West Indies",16.12,-61.7,1354,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-61.7,16.12,TRUE
"2597",360811,"Bouillante Chain","France","Maar(s)",NA,NA,"West Indies","West Indies",16.12,-61.75,420,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-61.75,16.12,TRUE
"2598",360812,"Caraïbes, Monts","France","Stratovolcano",NA,NA,"West Indies","West Indies",15.97,-61.68,687,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-61.68,15.97,TRUE
"2599",360813,"Terre de Bas","France","Stratovolcano(es)",NA,NA,"West Indies","West Indies",15.87,-61.63,274,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-61.63,15.87,TRUE
"2600",360814,"Foundland","Dominica","Stratovolcano",NA,NA,"West Indies","West Indies",15.27,-61.28,960,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-61.28,15.27,TRUE
"2601",360815,"Carbets, Pitons de","France","Stratovolcano",NA,NA,"West Indies","West Indies",14.7,-61.12,1196,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-61.12,14.7,TRUE
"2602",360816,"Unnamed","France","Volcanic field",NA,NA,"West Indies","West Indies",14.65,-61.08,0,NA,"Subduction zone / Oceanic crust (< 15 km)","Pleistocene",NA,NA,NA,-61.08,14.65,TRUE
"2603",360817,"Garu, Morne","Saint Vincent and the Grenadines","Stratovolcano",NA,NA,"West Indies","West Indies",13.292,-61.2,1074,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,-61.2,13.292,TRUE
"2604",360818,"Grand Bonhomme","Saint Vincent and the Grenadines","Stratovolcano",NA,NA,"West Indies","West Indies",13.22,-61.208,1021,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",NA,NA,NA,-61.208,13.22,TRUE
