"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"1862",282808,"Kakuto","Japan","Caldera",NA,NA,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",32.042,130.767,0,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",57.8697090148926,-126.599395751953,200.403747558594,130.767,32.042,TRUE
"1863",282809,"Sone","Japan","Pyroclastic cone",NA,NA,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",33.053,129.083,143,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",25.2828559875488,-335.862976074219,197.156402587891,129.083,33.053,TRUE
"1864",282810,"Ojikajima","Japan","Shield(s)",NA,NA,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",33.199,129.051,95,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",23.1043491363525,-339.991455078125,208.30647277832,129.051,33.199,TRUE
"1865",282811,"Taradake","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",32.984,130.079,1076,NA,"Unknown","Pleistocene",44.8683242797852,-284.072967529297,217.542434692383,130.079,32.984,TRUE
"1866",282812,"Kinpo","Japan","Stratovolcano",NA,NA,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",32.811,130.641,665,NA,"Unknown","Pleistocene",61.9003982543945,-207.376571655273,209.302169799805,130.641,32.811,TRUE
"1867",282813,"Yabakei","Japan","Caldera",NA,NA,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",33.169,131.221,800,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",64.8670349121094,-151.674423217773,210.669815063477,131.221,33.169,TRUE
"1868",282814,"Hane-yama","Japan","Shield",NA,NA,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",33.228,131.133,1140,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",66.3755340576172,-174.941604614258,212.437576293945,131.133,33.228,TRUE
"1869",282815,"Hohi","Japan","Stratovolcano(es)",NA,NA,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",33.284,131.319,1236,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",65.4923477172852,-148.766555786133,210.827255249023,131.319,33.284,TRUE
"1870",282816,"Futago","Japan","Lava dome(s)",NA,NA,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",33.58,131.604,720,NA,"Subduction zone / Continental crust (>25 km)","Pleistocene",64.7980270385742,-132.811279296875,204.102828979492,131.604,33.58,TRUE
"1871",282817,"Hime-shima Volcanic Group","Japan","Lava dome(s)",NA,NA,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",33.718,131.669,267,NA,"Unknown","Pleistocene",64.817024230957,-132.435516357422,199.652114868164,131.669,33.718,TRUE
