"","volcano.number","volcano.name","country","primary.volcano.type","activity.evidence","last.known.eruption","region","subregion","lat","long","elevation..m.","dominant.rock.type","tectonic.setting","file","slab.dip","slab.depth","slab.strike","mx","my","optional"
"1418",390070,"Southern Thule","United Kingdom","Stratovolcano(es)","Eruption Observed","1975 CE","Antarctica","Antarctica and South Sandwich Islands",-59.442,-27.225,1075,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",62.4689407339208,-141.480300905395,213.641642237595,-27.225,-59.442,TRUE
"1419",390080,"Bristol Island","United Kingdom","Stratovolcano","Eruption Observed","2016 CE","Antarctica","Antarctica and South Sandwich Islands",-59.017,-26.533,1100,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",62.0394816895015,-107.338627253667,192.549880967272,-26.533,-59.017,TRUE
"1420",390081,"Montagu Island","United Kingdom","Shield","Eruption Observed","2007 CE","Antarctica","Antarctica and South Sandwich Islands",-58.445,-26.374,1370,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",57.379320768979,-97.256250967128,174.883641553934,-26.374,-58.445,TRUE
"1421",390090,"Saunders","United Kingdom","Stratovolcano","Eruption Observed","2019 CE","Antarctica","Antarctica and South Sandwich Islands",-57.8,-26.483,843,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",54.3907572284673,-87.9967371113232,167.796279906011,-26.483,-57.8,TRUE
"1422",390100,"Candlemas Island","United Kingdom","Stratovolcano","Eruption Observed","1911 CE","Antarctica","Antarctica and South Sandwich Islands",-57.08,-26.67,550,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",54.2867380646037,-78.6461511693762,164.255850889959,-26.67,-57.08,TRUE
"1423",390110,"Hodson","United Kingdom","Stratovolcano","Evidence Credible","Unknown","Antarctica","Antarctica and South Sandwich Islands",-56.712,-27.176,835,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",57.4026298463015,-100.621326798431,152.15565490013,-27.176,-56.712,TRUE
"1424",390120,"Leskov Island","United Kingdom","Stratovolcano","Unrest / Holocene","Unknown","Antarctica","Antarctica and South Sandwich Islands",-56.656,-28.14,190,"Andesite / Basaltic Andesite","Subduction zone / Oceanic crust (< 15 km)","Holocene",64.8163604668997,-183.057057595599,147.552912382248,-28.14,-56.656,TRUE
"1425",390130,"Zavodovski","United Kingdom","Stratovolcano","Eruption Observed","2016 CE","Antarctica","Antarctica and South Sandwich Islands",-56.3,-27.57,551,"Basalt / Picro-Basalt","Subduction zone / Oceanic crust (< 15 km)","Holocene",56.700544980366,-89.5460229731405,138.405807488421,-27.57,-56.3,TRUE
"1426",390140,"Protector Seamounts","United Kingdom","Submarine","Eruption Observed","1962 CE","Antarctica","Antarctica and South Sandwich Islands",-55.912,-28.167,-55,"Rhyolite","Subduction zone / Oceanic crust (< 15 km)","Holocene",55.6762042388394,-76.4860152416092,121.207470360525,-28.167,-55.912,TRUE
